frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
82,0,22:6e:45:de:34:20,HT,20,2,1,56,77,77,448,49667
83,0,23:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
84,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49668
85,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,73,448,49671
86,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
87,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
88,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
89,0,22:6e:45:de:34:20,HT,20,2,1,56,73,72,448,49666
90,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,70,448,49671
91,0,22:6e:45:de:34:20,HT,20,2,1,56,73,73,448,49667
92,0,22:6e:45:de:34:20,HT,20,2,2,56,73,74,896,49684
93,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49667
94,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
95,0,22:6e:45:de:34:20,HT,20,2,1,56,73,73,448,49666
96,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49668
97,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
98,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
99,0,22:6e:45:de:34:20,HT,20,2,1,56,75,77,448,49667
100,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
101,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
102,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
103,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
104,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
105,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
106,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
107,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
